STATE,TIME
alabama,21.12
alaska,15.27
arizona,16.46
arkansas,20.05
california,18.10
colorado,16.06
connecticut,15.01
delaware,18.07
florida,18.50
georgia,19.09
hawaii,16.38
idaho,15.02
illinois,16.09
indiana,17.07
iowa,14.30
kansas,15.56
kentucky,19.11
louisiana,19.04
maine,13.17
maryland,16.43
massachusetts,15.56
michigan,17.43
minnesota,14.20
mississippi,21.02
missouri,16.29
montana,14.17
nebraska,15.17
nevada,20.03
new hampshire,13.25
new jersey,17.17
new mexico,18.04
new york,18.08
north carolina,16.26
north dakota,14.27
ohio,17.06
oklahoma,18.09
oregon,14.49
pennsylvania,16.05
rhode island,16.23
south carolina,17.59
south dakota,14.16
tennessee,18.53
texas,18.41
utah,14.20
vermont,14.37
virginia,16.16
washington,13.52
west virginia,20.29
wisconsin,13.29
wyoming,15.40